target,policy,chunk_size,num_threads,ranges, run1,run2,run3
collatz_par, s,10000,8,1-1000 5000-100000 1000000-5000000,0.218633,0.219058,0.219063
collatz_par, s,10000,16,1-1000 5000-100000 1000000-5000000,0.113617,0.112782,0.113451
collatz_par, s,10000,32,1-1000 5000-100000 1000000-5000000,0.0811226,0.0792813,0.0803279
collatz_par, s,50000,4,1-1000 5000-100000 1000000-5000000,0.432165,0.432382,0.432409
collatz_par, s,50000,8,1-1000 5000-100000 1000000-5000000,0.232239,0.231977,0.233256
collatz_par, s,50000,16,1-1000 5000-100000 1000000-5000000,0.132492,0.1323,0.132278
collatz_par, s,50000,32,1-1000 5000-100000 1000000-5000000,0.101375,0.102023,0.101052
collatz_par, t,512,4,1-1000 5000-100000 1000000-5000000,0.371855,0.364991,0.371832
collatz_par, t,512,8,1-1000 5000-100000 1000000-5000000,0.186786,0.186799,0.186761
collatz_par, t,512,16,1-1000 5000-100000 1000000-5000000,0.117352,0.113178,0.113043
collatz_par, t,512,32,1-1000 5000-100000 1000000-5000000,0.0684276,0.0636488,0.0707632
collatz_par, t,1024,4,1-1000 5000-100000 1000000-5000000,0.363007,0.36922,0.363056
collatz_par, t,1024,8,1-1000 5000-100000 1000000-5000000,0.188436,0.18686,0.185692
collatz_par, t,1024,16,1-1000 5000-100000 1000000-5000000,0.0958321,0.113147,0.116935
collatz_par, t,1024,32,1-1000 5000-100000 1000000-5000000,0.0643195,0.0661194,0.0654395
collatz_par, t,5000,4,1-1000 5000-100000 1000000-5000000,0.367846,0.363563,0.361489
collatz_par, t,5000,8,1-1000 5000-100000 1000000-5000000,0.189726,0.191167,0.188829
collatz_par, t,5000,16,1-1000 5000-100000 1000000-5000000,0.11354,0.101919,0.0984761
collatz_par, t,5000,32,1-1000 5000-100000 1000000-5000000,0.0651124,0.0645754,0.067108
collatz_par, t,10000,4,1-1000 5000-100000 1000000-5000000,0.363611,0.366444,0.363156
collatz_par, t,10000,8,1-1000 5000-100000 1000000-5000000,0.186425,0.186441,0.186553
collatz_par, t,10000,16,1-1000 5000-100000 1000000-5000000,0.114964,0.113598,0.106376
collatz_par, t,10000,32,1-1000 5000-100000 1000000-5000000,0.0665649,0.0655632,0.0662398
collatz_par, t,50000,4,1-1000 5000-100000 1000000-5000000,0.37154,0.371479,0.370825
collatz_par, t,50000,8,1-1000 5000-100000 1000000-5000000,0.193226,0.193268,0.193354
collatz_par, t,50000,16,1-1000 5000-100000 1000000-5000000,0.1251,0.131488,0.130971
collatz_par, t,50000,32,1-1000 5000-100000 1000000-5000000,0.0843762,0.0933134,0.0846223
collatz_seq, none, none, none,1-1000 5000-100000 1000000-5000000,1.29407,1.2981,1.29267
